Wavelength,mHoneydew (AB),mHoneydew (EM)
375,0.049,
376,0.049,
377,0.05,
378,0.05,
379,0.051,
380,0.052,
381,0.053,
382,0.053,
383,0.055,
384,0.056,
385,0.058,
386,0.059,
387,0.062,
388,0.063,
389,0.066,
390,0.069,
391,0.071,
392,0.075,
393,0.078,
394,0.082,
395,0.085,
396,0.089,
397,0.094,
398,0.098,
399,0.103,
400,0.107,
401,0.113,
402,0.118,
403,0.123,
404,0.13,
405,0.136,
406,0.142,
407,0.149,
408,0.156,
409,0.163,
410,0.172,
411,0.179,
412,0.187,
413,0.196,
414,0.205,
415,0.215,
416,0.224,
417,0.235,
418,0.245,
419,0.256,
420,0.266,
421,0.278,
422,0.288,
423,0.3,
424,0.311,
425,0.324,
426,0.336,
427,0.348,
428,0.363,
429,0.374,
430,0.388,
431,0.402,
432,0.416,
433,0.43,
434,0.445,
435,0.461,
436,0.476,
437,0.494,
438,0.51,
439,0.525,
440,0.543,
441,0.561,
442,0.579,
443,0.595,
444,0.615,
445,0.631,
446,0.648,
447,0.667,
448,0.684,
449,0.7,
450,0.709,
451,0.723,
452,0.741,
453,0.756,
454,0.773,
455,0.788,
456,0.8,
457,0.812,
458,0.822,
459,0.835,
460,0.849,
461,0.861,
462,0.868,
463,0.873,
464,0.886,
465,0.903,
466,0.914,
467,0.915,
468,0.917,
469,0.928,
470,0.944,
471,0.958,
472,0.967,
473,0.966,
474,0.972,
475,0.986,
476,0.995,
477,0.996,
478,1,
479,0.997,
480,0.993,
481,0.984,
482,0.978,
483,0.973,
484,0.97,
485,0.964,
486,0.96,
487,0.956,
488,0.948,
489,0.939,
490,0.934,
491,0.925,
492,0.916,
493,0.909,
494,0.909,
495,0.91,
496,0.908,
497,0.908,
498,0.91,
499,0.91,
500,0.912,0.048
501,0.912,0.057
502,0.912,0.068
503,0.912,0.08
504,0.914,0.094
505,0.91,0.111
506,0.908,0.131
507,0.9,0.154
508,0.894,0.178
509,0.884,0.207
510,0.87,0.239
511,0.85,0.273
512,0.832,0.312
513,0.805,0.353
514,0.777,0.398
515,0.748,0.441
516,0.713,0.488
517,0.677,0.536
518,0.641,0.584
519,0.599,0.63
520,0.558,0.676
521,0.515,0.722
522,0.475,0.76
523,0.433,0.797
524,0.394,0.833
525,0.354,0.863
526,0.317,0.89
527,0.286,0.911
528,0.253,0.93
529,0.223,0.946
530,0.197,0.957
531,0.174,0.968
532,0.152,0.974
533,0.133,0.98
534,0.115,0.983
535,0.101,0.984
536,0.088,0.985
537,0.077,0.985
538,0.067,0.985
539,0.058,0.983
540,0.05,0.981
541,0.044,0.98
542,0.038,0.979
543,0.033,0.977
544,0.029,0.978
545,0.025,0.977
546,0.022,0.977
547,0.019,0.977
548,0.017,0.978
549,0.015,0.977
550,0.013,0.979
551,,0.981
552,,0.983
553,,0.985
554,,0.988
555,,0.989
556,,0.994
557,,0.995
558,,0.995
559,,0.997
560,,0.998
561,,0.999
562,,1
563,,0.997
564,,0.996
565,,0.992
566,,0.988
567,,0.982
568,,0.975
569,,0.968
570,,0.959
571,,0.949
572,,0.939
573,,0.929
574,,0.916
575,,0.904
576,,0.892
577,,0.879
578,,0.866
579,,0.852
580,,0.838
581,,0.825
582,,0.812
583,,0.797
584,,0.788
585,,0.774
586,,0.761
587,,0.747
588,,0.736
589,,0.722
590,,0.711
591,,0.7
592,,0.689
593,,0.677
594,,0.667
595,,0.655
596,,0.645
597,,0.635
598,,0.625
599,,0.613
600,,0.604
601,,0.595
602,,0.587
603,,0.578
604,,0.568
605,,0.558
606,,0.55
607,,0.541
608,,0.532
609,,0.524
610,,0.515
611,,0.506
612,,0.498
613,,0.489
614,,0.48
615,,0.472
616,,0.463
617,,0.453
618,,0.444
619,,0.434
620,,0.426
621,,0.418
622,,0.409
623,,0.401
624,,0.392
625,,0.383
626,,0.375
627,,0.366
628,,0.359
629,,0.35
630,,0.343
631,,0.336
632,,0.328
633,,0.318
634,,0.311
635,,0.304
636,,0.298
637,,0.291
638,,0.284
639,,0.278
640,,0.271
641,,0.265
642,,0.26
643,,0.255
644,,0.249
645,,0.244
646,,0.238
647,,0.232
648,,0.227
649,,0.22
650,,0.215
651,,0.211
652,,0.206
653,,0.201
654,,0.196
655,,0.191
656,,0.186
657,,0.18
658,,0.176
659,,0.172
660,,0.168
661,,0.164
662,,0.16
663,,0.156
664,,0.153
665,,0.149
666,,0.146
667,,0.142
668,,0.14
669,,0.136
670,,0.134
671,,0.13
672,,0.127
673,,0.124
674,,0.121
675,,0.118
676,,0.117
677,,0.113
678,,0.111
679,,0.108
680,,0.105
681,,0.102
682,,0.101
683,,0.099
684,,0.096
685,,0.093
686,,0.091
687,,0.088
688,,0.087
689,,0.085
690,,0.083
691,,0.081
692,,0.079
693,,0.077
694,,0.076
695,,0.074
696,,0.073
697,,0.071
698,,0.068
699,,0.066
700,,0.065
