Wavelength,mPlum (AB),mPlum (EM)
450,0.012,
451,0.013,
452,0.013,
453,0.014,
454,0.015,
455,0.016,
456,0.017,
457,0.018,
458,0.019,
459,0.02,
460,0.021,
461,0.022,
462,0.023,
463,0.025,
464,0.025,
465,0.028,
466,0.029,
467,0.03,
468,0.031,
469,0.032,
470,0.034,
471,0.036,
472,0.037,
473,0.039,
474,0.04,
475,0.042,
476,0.043,
477,0.046,
478,0.047,
479,0.05,
480,0.051,
481,0.054,
482,0.056,
483,0.058,
484,0.061,
485,0.064,
486,0.066,
487,0.069,
488,0.072,
489,0.076,
490,0.078,
491,0.083,
492,0.086,
493,0.089,
494,0.094,
495,0.098,
496,0.101,
497,0.105,
498,0.11,
499,0.115,
500,0.12,
501,0.124,
502,0.129,
503,0.133,
504,0.139,
505,0.144,
506,0.149,
507,0.155,
508,0.161,
509,0.168,
510,0.173,
511,0.181,
512,0.188,
513,0.195,
514,0.204,
515,0.211,
516,0.22,
517,0.229,
518,0.238,
519,0.249,
520,0.256,
521,0.267,
522,0.276,
523,0.288,
524,0.299,
525,0.31,
526,0.32,
527,0.332,
528,0.347,
529,0.358,
530,0.372,
531,0.383,
532,0.397,
533,0.412,
534,0.424,
535,0.439,
536,0.454,
537,0.466,
538,0.48,
539,0.494,
540,0.505,
541,0.519,
542,0.529,
543,0.54,
544,0.552,
545,0.564,
546,0.57,
547,0.582,
548,0.59,
549,0.598,
550,0.603,
551,0.611,
552,0.614,
553,0.622,
554,0.628,
555,0.634,
556,0.639,
557,0.647,
558,0.656,
559,0.661,
560,0.667,
561,0.676,
562,0.685,
563,0.694,
564,0.699,
565,0.714,
566,0.723,
567,0.736,
568,0.743,
569,0.76,
570,0.772,
571,0.786,
572,0.8,
573,0.821,
574,0.829,
575,0.845,
576,0.862,
577,0.877,
578,0.898,
579,0.916,
580,0.926,
581,0.941,
582,0.956,
583,0.966,
584,0.974,0.052
585,0.989,0.059
586,0.994,0.067
587,1.001,0.074
588,1,0.085
589,0.999,0.095
590,1,0.106
591,0.992,0.117
592,0.987,0.129
593,0.975,0.145
594,0.962,0.159
595,0.949,0.173
596,0.93,0.19
597,0.91,0.206
598,0.883,0.224
599,0.861,0.242
600,0.83,0.259
601,0.806,0.28
602,0.772,0.298
603,0.744,0.319
604,0.707,0.34
605,0.676,0.358
606,0.645,0.378
607,0.614,0.394
608,0.576,0.419
609,0.542,0.438
610,0.516,0.454
611,0.482,0.478
612,0.454,0.499
613,0.424,0.517
614,0.396,0.536
615,0.373,0.556
616,0.347,0.577
617,0.322,0.598
618,0.297,0.62
619,0.278,0.637
620,0.255,0.656
621,0.238,0.675
622,0.22,0.698
623,0.202,0.717
624,0.188,0.735
625,0.171,0.744
626,0.161,0.768
627,0.146,0.787
628,0.134,0.809
629,0.123,0.819
630,0.113,0.835
631,,0.853
632,,0.866
633,,0.88
634,,0.894
635,,0.907
636,,0.915
637,,0.931
638,,0.938
639,,0.949
640,,0.963
641,,0.967
642,,0.977
643,,0.987
644,,0.991
645,,0.997
646,,0.999
647,,0.998
648,,0.993
649,,0.998
650,,1.002
651,,0.997
652,,1
653,,0.996
654,,0.991
655,,0.988
656,,0.974
657,,0.965
658,,0.951
659,,0.95
660,,0.943
661,,0.928
662,,0.921
663,,0.908
664,,0.899
665,,0.888
666,,0.879
667,,0.866
668,,0.855
669,,0.844
670,,0.834
671,,0.817
672,,0.812
673,,0.801
674,,0.788
675,,0.772
676,,0.765
677,,0.747
678,,0.737
679,,0.721
680,,0.711
681,,0.701
682,,0.687
683,,0.675
684,,0.658
685,,0.65
686,,0.632
687,,0.629
688,,0.613
689,,0.604
690,,0.591
691,,0.586
692,,0.573
693,,0.567
694,,0.557
695,,0.546
696,,0.535
697,,0.523
698,,0.517
699,,0.502
700,,0.501
701,,0.488
702,,0.483
703,,0.474
704,,0.466
705,,0.46
706,,0.451
707,,0.443
708,,0.435
709,,0.429
710,,0.424
711,,0.413
712,,0.406
713,,0.404
714,,0.396
715,,0.385
716,,0.383
717,,0.377
718,,0.369
719,,0.365
720,,0.354
721,,0.349
722,,0.344
723,,0.337
724,,0.333
725,,0.325
726,,0.318
727,,0.313
728,,0.31
729,,0.305
730,,0.293
731,,0.293
732,,0.286
733,,0.285
734,,0.276
735,,0.272
736,,0.265
737,,0.263
738,,0.259
739,,0.252
740,,0.246
741,,0.245
742,,0.238
743,,0.232
744,,0.228
745,,0.221
746,,0.218
747,,0.212
748,,0.21
749,,0.21
750,,0.202
751,,0.201
752,,0.192
753,,0.185
754,,0.187
755,,0.18
756,,0.175
757,,0.171
758,,0.169
759,,0.169
760,,0.165
761,,0.16
762,,0.155
763,,0.153
764,,0.152
765,,0.147
766,,0.145
767,,0.141
768,,0.138
769,,0.138
770,,0.133
771,,0.129
772,,0.127
773,,0.125
774,,0.122
775,,0.118
776,,0.114
777,,0.117
778,,0.108
779,,0.107
780,,0.106
781,,0.103
782,,0.104
783,,0.1
784,,0.096
785,,0.096
786,,0.094
787,,0.095
788,,0.092
789,,0.086
790,,0.085
791,,0.084
792,,0.085
793,,0.084
794,,0.08
795,,0.08
796,,0.079
797,,0.078
798,,0.078
799,,0.076
800,,0.072
